Date,Open,High,Low,Close,Adj Close,Volume
2007-05-30,91.580002,91.599998,91.500000,91.599998,79.774879,1550
2007-05-31,91.580002,91.599998,91.580002,91.599998,79.774879,11200
2007-06-01,91.620003,91.620003,91.620003,91.620003,79.792328,1450
2007-06-04,91.639999,91.639999,91.639999,91.639999,79.809753,1050
2007-06-05,91.660004,91.680000,91.639999,91.639999,79.809753,3750
2007-06-06,91.639999,91.680000,91.639999,91.680000,79.844574,9750
2007-06-07,91.639999,91.660004,91.639999,91.660004,79.827164,12150
2007-06-08,91.680000,91.680000,91.620003,91.680000,79.844574,7850
2007-06-11,91.680000,91.720001,91.680000,91.720001,79.879417,2400
2007-06-12,91.720001,91.720001,91.639999,91.639999,79.809753,3900
2007-06-13,91.639999,91.720001,91.639999,91.720001,79.879417,3750
2007-06-14,91.760002,91.760002,91.760002,91.760002,79.914215,13400
2007-06-15,91.800003,91.839996,91.739998,91.839996,79.983948,1050
2007-06-18,91.820000,91.879997,91.800003,91.860001,80.001305,28000
2007-06-19,91.860001,91.860001,91.860001,91.860001,80.001305,850
2007-06-20,91.839996,91.900002,91.839996,91.879997,80.018768,3100
2007-06-21,91.860001,91.900002,91.860001,91.879997,80.018768,850
2007-06-22,91.900002,91.959999,91.900002,91.959999,80.088371,2200
2007-06-25,91.900002,91.919998,91.900002,91.919998,80.053566,29700
2007-06-26,91.919998,91.940002,91.900002,91.940002,80.070992,5100
2007-06-27,91.959999,91.959999,91.919998,91.919998,80.053566,8200
2007-06-28,91.959999,91.959999,91.959999,91.959999,80.088371,900
2007-06-29,91.959999,92.000000,91.940002,92.000000,80.123253,5650
2007-07-02,91.620003,91.699997,91.599998,91.620003,80.145988,13050
2007-07-03,91.559998,91.620003,91.559998,91.620003,80.145988,3000
2007-07-05,91.599998,91.620003,91.540001,91.620003,80.145988,5450
2007-07-06,91.639999,91.660004,91.639999,91.660004,80.180962,3800
2007-07-09,91.599998,91.680000,91.599998,91.680000,80.198471,3950
2007-07-10,91.660004,91.699997,91.660004,91.699997,80.215965,5250
2007-07-11,91.699997,91.699997,91.620003,91.699997,80.215965,9100
2007-07-12,91.720001,91.720001,91.680000,91.720001,80.233490,14700
2007-07-13,91.720001,91.739998,91.699997,91.739998,80.250977,13050
2007-07-16,91.779999,91.779999,91.720001,91.760002,80.268425,16150
2007-07-17,91.800003,91.800003,91.720001,91.800003,80.303474,46500
2007-07-18,91.760002,91.779999,91.699997,91.779999,80.285995,5450
2007-07-19,91.800003,91.820000,91.739998,91.800003,80.303474,13900
2007-07-20,91.860001,91.860001,91.839996,91.839996,80.338417,8000
2007-07-23,91.839996,91.860001,91.820000,91.839996,80.338417,6950
2007-07-24,91.839996,91.860001,91.820000,91.839996,80.338417,9350
2007-07-25,91.860001,91.879997,91.860001,91.860001,80.355942,9800
2007-07-26,91.860001,91.900002,91.800003,91.879997,80.373466,41050
2007-07-27,91.860001,92.000000,91.620003,91.919998,80.408432,153800
2007-07-30,91.900002,91.940002,91.839996,91.839996,80.338417,10300
2007-07-31,91.959999,91.959999,91.919998,91.959999,80.443436,54000
2007-08-01,91.580002,91.599998,91.500000,91.559998,80.417061,18650
2007-08-02,91.500000,91.580002,91.480003,91.580002,80.434631,49750
2007-08-03,91.620003,91.639999,91.540001,91.540001,80.399498,26200
2007-08-06,91.639999,91.660004,91.599998,91.639999,80.487350,22300
2007-08-07,91.660004,91.680000,91.580002,91.660004,80.504890,13950
2007-08-08,91.660004,91.680000,91.599998,91.620003,80.469795,19750
2007-08-09,91.680000,91.739998,91.660004,91.699997,80.540001,103150
2007-08-10,91.760002,91.779999,91.739998,91.760002,80.592728,112100
2007-08-13,91.760002,91.800003,91.739998,91.779999,80.610313,71800
2007-08-14,91.760002,91.800003,91.739998,91.760002,80.592728,130650
2007-08-15,91.800003,91.839996,91.760002,91.779999,80.610313,40400
2007-08-16,91.779999,92.000000,91.779999,91.900002,80.715675,122850
2007-08-17,91.699997,91.980003,91.680000,91.959999,80.768433,84750
2007-08-20,91.919998,92.099998,91.919998,92.040001,80.838646,19750
2007-08-21,92.059998,92.059998,91.900002,92.019997,80.821106,157700
2007-08-22,92.019997,92.019997,91.879997,92.019997,80.821106,30000
2007-08-23,91.980003,91.980003,91.879997,91.959999,80.768433,40250
2007-08-24,91.839996,91.940002,91.800003,91.940002,80.750839,14050
2007-08-27,91.879997,91.940002,91.820000,91.820000,80.645447,36050
